date,shards-total,shards-successful,shards-failed,total-store,chunks-latest,chunks,coordinates-latest,coordinates,meta
2019-02-16T12:38:43.032Z,50,25,0,2440812,813961,1122910,128308,363374,12259
2019-02-16T12:48:43.098Z,50,25,0,3943760,785097,1590394,128365,1433091,6813
2019-02-16T12:58:43.184Z,50,25,0,7037392,881380,2169171,133873,3846155,6813
2019-02-16T13:08:43.209Z,50,25,0,7290259,784819,2768076,128371,3602180,6813
2019-02-16T13:15:24.991Z,50,25,0,8650994,914694,3224390,128370,4376727,6813
2019-02-16T13:20:25.057Z,50,25,0,8886491,745552,3350303,128368,4655455,6813
2019-02-16T13:25:25.106Z,50,25,0,17809934,1417284,6775275,257036,9353526,6813
2019-02-16T13:30:25.203Z,50,25,0,19791025,1673624,6988112,257042,10865434,6813
2019-02-16T13:35:25.200Z,50,25,0,19537092,1551534,7289458,257044,10432243,6813
2019-02-16T13:40:25.223Z,50,25,0,21576713,1561934,7540972,257039,12209955,6813
2019-02-16T13:45:25.134Z,50,25,0,22480599,1521195,7884170,257040,12811381,6813
2019-02-16T13:50:25.156Z,50,25,0,21978516,1560549,8124507,257034,12029613,6813
2019-02-16T13:55:25.146Z,50,25,0,22721888,1472337,8475687,257034,12510017,6813
2019-02-16T14:00:25.164Z,50,25,0,26342875,1516917,8741189,257041,15820915,6813
2019-02-16T14:05:25.149Z,50,25,0,26291588,1524234,8999686,263321,15497534,6813
2019-02-16T14:10:25.146Z,50,25,0,29040180,1537500,9304578,262551,17928738,6813
2019-02-16T14:15:25.208Z,50,25,0,32149431,1697118,13430413,257044,16758043,6813
2019-02-16T14:20:25.151Z,50,25,0,26926063,1493752,9915121,257044,15253333,6813
2019-02-16T14:25:25.152Z,50,25,0,31285568,1530594,10221246,257039,19269876,6813
2019-02-16T14:30:25.243Z,50,25,0,28576296,1558754,10468067,257043,16285619,6813
2019-02-16T14:35:25.324Z,50,25,0,33381014,1555074,12254686,257040,19307401,6813
2019-02-16T14:40:25.216Z,50,25,0,32758766,1523072,11011088,257058,19960735,6813
2019-02-16T14:45:25.229Z,50,25,0,33760149,1584721,11320819,257055,20590741,6813
2019-02-16T14:50:25.255Z,50,25,0,40133399,1466772,11658579,257066,26744169,6813
2019-02-16T14:55:25.234Z,50,25,0,32755801,1515767,11961754,257065,19014402,6813
2019-02-16T15:00:25.254Z,50,25,0,33593705,1491675,12258487,257064,19579666,6813
2019-02-16T15:05:25.232Z,50,25,0,40500962,1538601,12495701,257065,26202782,6813
2019-02-16T15:10:25.235Z,50,25,0,38479732,1523361,12870828,257060,23821670,6813
2019-02-16T15:15:25.241Z,50,25,0,42617617,1508721,13104430,257069,27740584,6813
2019-02-16T15:20:25.275Z,50,25,0,40285904,1542696,13411169,257060,25068166,6813
2019-02-16T15:25:25.323Z,50,25,0,49170486,1853874,17816237,257063,29236499,6813
2019-02-16T15:30:25.287Z,50,25,0,52960263,1539540,13991773,257060,37165077,6813
2019-02-16T15:35:25.286Z,50,25,0,50468046,1486743,14294027,257058,34423405,6813
2019-02-16T15:40:25.338Z,50,25,0,47797675,1523731,14582880,257063,31427188,6813
2019-02-16T15:45:25.341Z,50,25,0,41292335,1539637,14776677,257058,24712150,6813
2019-02-16T15:50:25.415Z,50,25,0,44488342,1561703,15088645,262567,27568614,6813
2019-02-16T15:55:25.236Z,50,25,0,54078690,1573807,15395654,257057,36845359,6813
2019-02-16T16:00:25.227Z,50,25,0,55222284,1485303,15704679,268548,37756941,6813
2019-02-16T16:05:25.238Z,50,25,0,47712936,1474741,15899567,262582,30069233,6813
2019-02-16T16:10:25.242Z,50,25,0,50682339,1418718,16269950,262581,32724277,6813
2019-02-16T16:15:25.250Z,50,25,0,57487073,1543009,16522958,262586,39151707,6813
2019-02-16T16:20:25.286Z,50,25,0,55177722,1525212,16816253,257080,36572364,6813
2019-02-16T16:25:25.242Z,50,25,0,47388274,1466371,17122977,257079,28535034,6813
2019-02-16T16:30:25.400Z,50,25,0,58979390,1544396,18274079,257077,38897025,6813
2019-02-16T16:35:25.339Z,50,25,0,53998684,1443599,17707166,257073,34584033,6813
2019-02-16T16:40:25.325Z,50,25,0,55295280,1691194,18066026,257068,35274179,6813
2019-02-16T16:45:25.361Z,50,25,0,61167050,1573403,18216738,257071,41113025,6813
2019-02-16T16:50:25.342Z,50,25,0,67447685,1530785,18510088,257075,47142924,6813
2019-02-16T16:55:25.691Z,50,25,0,73997720,1533885,20984937,262581,51209504,6813
2019-02-16T17:00:25.393Z,50,25,0,69478438,1508346,19132336,257077,48573866,6813
2019-02-16T17:05:25.339Z,50,25,0,65355892,1684926,19305927,257072,44101154,6813
2019-02-16T17:10:25.351Z,50,25,0,66102925,1496491,19579046,257106,44763469,6813
2019-02-16T17:15:25.378Z,50,25,0,73040463,1574177,19857459,257106,51344908,6813
2019-02-16T17:20:25.414Z,50,25,0,56391864,1482247,20210205,257103,34435496,6813
2019-02-16T17:25:25.284Z,50,25,0,82909607,1536565,26753892,262605,54349732,6813
2019-02-16T17:30:25.282Z,50,25,0,82163931,1514243,26601422,257096,53784357,6813
2019-02-16T17:35:25.298Z,50,25,0,76621813,1505371,27571386,257101,47281142,6813
2019-02-16T17:40:25.286Z,50,25,0,77963047,1498194,26966517,257097,49234426,6813
2019-02-16T17:45:25.293Z,50,25,0,83308060,1559626,28462324,257096,53022201,6813
2019-02-16T17:50:25.426Z,50,25,0,66374883,1471806,21872939,268972,42754353,6813
2019-02-16T17:55:25.577Z,50,25,0,79502133,1520884,22124743,268122,55581571,6813
2019-02-16T18:00:25.542Z,50,25,0,73069037,1539503,22533360,269033,48720328,6813
2019-02-16T18:05:25.565Z,50,25,0,79967270,1462158,22661049,257100,55580150,6813
2019-02-16T18:10:25.570Z,50,25,0,79493208,1754604,22965927,257098,54508766,6813
2019-02-16T18:15:25.416Z,50,25,0,72383290,1480532,23262663,257102,47376180,6813
2019-02-16T18:20:25.650Z,50,25,0,87753627,1443876,23566983,273638,62462317,6813
2019-02-16T18:25:25.657Z,50,25,0,86067226,1501939,27607255,257103,56694116,6813
2019-02-16T18:30:25.548Z,50,25,0,78972341,1556614,24165220,257102,52986592,6813
2019-02-16T18:35:25.769Z,50,25,0,83347069,1547121,24501153,257091,57034891,6813
2019-02-16T18:40:25.386Z,50,25,0,92281431,1537464,24700005,257098,65780051,6813
2019-02-16T18:45:25.371Z,50,25,0,89934265,1508679,33791434,267583,54359756,6813
2019-02-16T18:50:25.448Z,50,25,0,85237077,1710095,34111260,262612,49146297,6813
2019-02-16T18:55:25.385Z,50,25,0,89102577,1551988,30083429,262605,57197742,6813
2019-02-16T19:00:25.374Z,50,25,0,85588107,1726318,25877243,263471,57714262,6813
2019-02-16T19:05:25.459Z,50,25,0,89930533,1565667,26217370,257102,61883581,6813
2019-02-16T19:10:25.536Z,50,25,0,88740779,1533738,26512440,257102,60430686,6813
2019-02-16T19:15:25.683Z,50,25,0,102396223,1508936,31049608,262616,69568250,6813
2019-02-16T19:20:25.608Z,50,25,0,99261824,1768253,27049226,257105,70180427,6813
2019-02-16T19:25:25.560Z,50,25,0,85019445,1657227,27358290,257487,55739628,6813
2019-02-16T19:30:25.578Z,50,25,0,95015638,1479805,27643919,257097,65628004,6813
2019-02-16T19:35:25.610Z,50,25,0,82601201,1616960,27952022,257097,52768309,6813
2019-02-16T19:40:25.689Z,50,25,0,100140150,1529311,28106519,257097,70240410,6813
2019-02-16T19:45:25.646Z,50,25,0,113357498,1546447,28470080,268122,83066036,6813
2019-02-16T19:50:25.424Z,50,25,0,112001646,1493617,28739503,257095,81504618,6813
2019-02-16T19:55:25.436Z,50,25,0,112647288,1614258,29048060,262687,81715470,6813
2019-02-16T20:00:25.448Z,50,25,0,111291078,1515952,29294021,257103,80217189,6813
2019-02-16T20:05:25.612Z,50,25,0,97323284,1462451,29543657,257099,66053264,6813
2019-02-16T20:10:25.625Z,50,25,0,101432917,1518759,29877856,257096,69772393,6813
2019-02-16T20:15:25.777Z,50,25,0,105770767,1588987,30152701,268116,73754150,6813
2019-02-16T20:20:25.767Z,50,25,0,108790533,1492558,39824799,263467,67202896,6813
2019-02-16T20:25:25.689Z,50,25,0,102941080,1488482,30756613,262613,70426559,6813
2019-02-16T20:30:26.462Z,50,25,0,114578402,1556061,42160604,262619,70592305,6813
2019-02-16T20:35:25.567Z,50,25,0,88087443,1474731,31272267,257098,55076534,6813
2019-02-16T20:40:25.810Z,50,25,0,116225984,1470879,31577312,263458,82907522,6813
2019-02-16T20:45:25.706Z,50,25,0,126877787,1583543,36136752,257095,88893584,6813
2019-02-16T20:50:25.673Z,50,25,0,131196500,1488648,32164431,257103,97279505,6813
2019-02-16T20:55:25.695Z,50,25,0,112199655,1512611,32468489,257103,77954639,6813
2019-02-16T21:00:25.469Z,50,25,0,125318858,1536783,38589186,257094,84928982,6813
